141 	6 	2898 - Flying Hedgehogs 	6 [PNW District Clackamas Academy Event] 	Not Played 	--- 	--- 	0
142 	6 	5748 - Adna Pirate Robotics 	6 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	0
143 	6 	4110 - DEEP SPACE NINERS 	6 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	0
144 	6 	6129 - Shadle Park 	6 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
145 	5 	4043 - NerdHerd 	5 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	0
146 	4 	5198 - Knight Tech 	4 [PNW District Wilsonville Event] 	Not Played 	--- 	--- 	0
147 	4 	3586 - Pride in the Tribe-Caveman Rob... 	4 [PNW District SunDome Event] 	Not Played 	--- 	--- 	0
148 	4 	4681 - Murphy's law 	4 [PNW District Mount Vernon Event] 	Not Played 	--- 	--- 	0
149 	0 	492 - Titan Robotics Club 	Not Played 	Not Played 	--- 	--- 	0
150 	0 	949 - Wolverine Robotics 	Not Played 	Not Played 	--- 	--- 	0
151 	0 	1258 - SeaBot 	Not Played 	Not Played 	--- 	--- 	0
152 	0 	2555 - RoboRams 	Not Played 	Not Played 	--- 	--- 	0
153 	0 	2942 - Panda Robotics 	Not Played 	Not Played 	--- 	--- 	0
154 	0 	4918 - The Roboctopi 	Not Played 	Not Played 	--- 	--- 	0
